name	pop
A01stg	tabasco
A02stg	tabasco
A03stg	tabasco
A05stg	tabasco
A07stg	tabasco
A08stg	oaxaca
A09stg	oaxaca
B01stg	oaxaca
B02stg	oaxaca
B05stg	veracruz
B06stg	veracruz
B07stg	veracruz
B08stg	veracruz
B10stg	chiapas
B11stg	edomex
B12stg	edomex
C02stg	chiapas
C04stg	chiapas
C05stg	veracruz
C08stg	chiapas
C09stg	chiapas
C10stg	chiapas
C11stg	veracruz
C12stg	veracruz
D01stg	veracruz
D02stg	veracruz
D03stg	veracruz
D04stg	chiapas
D05stg	chiapas
D06stg	oaxaca
D07stg	oaxaca
D08stg	oaxaca
D09stg	oaxaca
D10stg	oaxaca
D11stg	oaxaca
D12stg	chiapas
E01stg	chiapas
E02stg	chiapas
E03stg	chiapas
E04stg	chiapas
E05stg	oaxaca
E06stg	oaxaca
E07stg	puebla
E08stg	puebla
E09stg	qroo
E10stg	qroo
E11stg	qroo
E12stg	qroo
F01stg	veracruz
F02stg	veracruz
F03stg	veracruz
F04stg	puebla
F05stg	veracruz
H04stg	chiapas
H05stg	chiapas
H06stg	chiapas
H07stg	chiapas
H08stg	puebla
H09stg	puebla
H10stg	qroo
H11stg	veracruz
