name	pop
A01stg	V.planifolia
A02stg	V.planifolia
A03stg	V.planifolia
A04stg	V.inodora
A05stg	V.planifolia
A06stg	V.inodora
A07stg	V.planifolia
A08stg	V.planifolia
A09stg	V.planifolia
A10stg	V.pompona
A11stg	V.pompona
A12stg	V.pompona
B01stg	V.planifolia
B02stg	V.planifolia
B03stg	V.pompona
B04stg	V.pompona
B05stg	V.planifolia
B06stg	V.planifolia
B07stg	V.planifolia
B08stg	V.planifolia
B09stg	V.pompona
B10stg	V.planifolia
B11stg	V.planifolia
B12stg	V.planifolia
C01stg	V.matinesii
C02stg	V.planifolia
C03stg	V.odorata
C04stg	V.planifolia
C05stg	V.planifolia
C06stg	V.insignis
C07stg	V.pompona
C08stg	V.planifolia
C09stg	V.planifolia
C10stg	V.planifolia
C11stg	V.planifolia
C12stg	V.planifolia
D01stg	V.planifolia
D02stg	V.planifolia
D03stg	V.planifolia
D04stg	V.planifolia
D05stg	V.planifolia
D06stg	V.planifolia
D07stg	V.planifolia
D08stg	V.planifolia
D09stg	V.planifolia
D10stg	V.planifolia
D11stg	V.planifolia
D12stg	V.planifolia
E01stg	V.planifolia
E02stg	V.planifolia
E03stg	V.planifolia
E04stg	V.planifolia
E05stg	V.planifolia
E06stg	V.planifolia
E07stg	V.planifolia
E08stg	V.planifolia
E09stg	V.planifolia
E10stg	V.planifolia
E11stg	V.planifolia
E12stg	V.planifolia
F01stg	V.planifolia
F02stg	V.planifolia
F03stg	V.planifolia
F04stg	V.planifolia
F05stg	V.planifolia
H04stg	V.planifolia
H05stg	V.planifolia
H06stg	V.planifolia
H07stg	V.planifolia
H08stg	V.planifolia
H09stg	V.planifolia
H10stg	V.planifolia
H11stg	V.planifolia
