name	pop
A01_trimmedstg	w
A02_trimmedstg	w
A03_trimmedstg	c
A05_trimmedstg	w
A07_trimmedstg	w
A08_trimmedstg	w
A09_trimmedstg	w
B01_trimmedstg	w
B02_trimmedstg	w
B05_trimmedstg	c
B06_trimmedstg	c
B07_trimmedstg	c
B08_trimmedstg	c
B10_trimmedstg	c
B11_trimmedstg	c
B12_trimmedstg	c
C02_trimmedstg	w
C04_trimmedstg	w
C05_trimmedstg	c
C08_trimmedstg	c
C09_trimmedstg	c
C10_trimmedstg	c
C11_trimmedstg	c
C12_trimmedstg	c
D01_trimmedstg	c
D02_trimmedstg	c
D03_trimmedstg	c
D04_trimmedstg	w
D05_trimmedstg	w
D06_trimmedstg	w
D07_trimmedstg	w
D08_trimmedstg	w
D09_trimmedstg	w
D10_trimmedstg	w
D11_trimmedstg	w
D12_trimmedstg	c
E01_trimmedstg	c
E02_trimmedstg	c
E03_trimmedstg	c
E04_trimmedstg	c
E05_trimmedstg	c
E06_trimmedstg	c
E07_trimmedstg	c
E08_trimmedstg	c
E09_trimmedstg	c
E10_trimmedstg	c
E11_trimmedstg	c
E12_trimmedstg	c
F01_trimmedstg	c
F02_trimmedstg	c
F03_trimmedstg	c
F04_trimmedstg	c
F05_trimmedstg	c
F06_trimmedstg	w
F07_trimmedstg	w
F09_trimmedstg	w
F11_trimmedstg	w
F12_trimmedstg	w
G01_trimmedstg	w
G06_trimmedstg	w
G07_trimmedstg	w
G08_trimmedstg	w
G09_trimmedstg	w
G10_trimmedstg	w
G11_trimmedstg	w
G12_trimmedstg	w
H01_trimmedstg	w
H02_trimmedstg	w
H03_trimmedstg	w
H04_trimmedstg	c
H05_trimmedstg	c
H06_trimmedstg	c
H07_trimmedstg	c
H08_trimmedstg	c
H09_trimmedstg	c
H10_trimmedstg	c
H11_trimmedstg	c
